idn	jahrzehnt	count
000155233	1830	1
000155233	1840	1
000155233	1850	1
000155233	1860	1
000155233	1870	1
000155233	1880	1
000155233	1890	1
000155233	1900	1
000155233	1910	1
000176095	1760	1
000176095	1770	1
000176095	1780	1
000176095	1790	1
000176095	1800	1
000176095	1810	1
000176095	1820	2
000176095	1830	2
000176095	1840	1
000176095	1850	1
000176095	1860	1
000176095	1870	1
000176095	1950	1
000176095	1960	1
000176095	1970	1
000176095	1980	1
000176095	1990	1
000178632	1800	1
000178632	1810	1
000178632	1820	1
000178632	1830	1
000178632	1840	1
000178632	1850	1
000178632	1860	1
000196835	1770	1
000196835	1780	1
000196835	1790	1
000196835	1800	1
000196835	1810	1
000196835	1820	1
000196835	1830	1
000196835	1840	1
000196835	1850	1
000196835	1860	1
000196835	1870	1
000196835	1880	1
000267430	1920	1
000267430	1930	1
000267430	1940	1
000267430	1950	1
000267430	1960	1
000267430	1970	1
000267430	1980	1
000267430	1990	1
000636274	1900	1
000636274	1910	2
000636274	1920	2
000636274	1930	2
000636274	1940	2
000636274	1950	2
000636274	1960	2
000636274	1970	2
000636274	1980	1
000636274	1990	1
000636282	1890	1
000636282	1900	1
000636282	1910	2
000636282	1920	2
000636282	1930	2
000636282	1940	2
000636282	1950	1
000636282	1960	1
000636282	1970	1
000641626	1890	1
000641626	1900	1
000641626	1910	1
000641626	1920	1
000641626	1930	1
000641626	1940	1
000641626	1950	1
000642738	1890	1
000642738	1900	1
000642738	1910	1
000642738	1920	1
000642738	1930	1
000643386	1580	1
000643386	1660	1
000643386	1670	1
000643386	1680	1
000643386	1690	1
000643386	1700	1
000643386	1710	1
000643386	1720	1
000643386	1800	1
000643386	1810	1
000643386	1820	1
000643386	1830	1
000643386	1840	1
000643386	1850	1
000643386	1860	1
000643386	1870	1
00074719X	1900	1
00074719X	1910	1
00074719X	1920	1
00074719X	1930	1
00074719X	1940	1
00074719X	1950	1
00074719X	1960	1
00074719X	1970	1
00074719X	1980	1
00074719X	1990	1
00074719X	2000	1
00074719X	2010	1
001104799	1880	1
001104799	1890	1
001104799	1900	1
001104799	1910	1
001104799	1920	1
001104799	1930	1
001104799	1940	1
001119362	1910	1
001121146	1560	1
001121146	1570	1
001121146	1580	1
001121146	1590	1
001121146	1600	1
001121146	1610	1
001121146	1620	1
001121146	1630	1
001133594	1870	1
001133594	1880	1
001133594	1890	1
001133594	1900	1
001133594	1910	1
001133594	1920	1
001133594	1930	1
001168398	1800	1
001168398	1810	1
001168398	1820	1
001168398	1830	1
001168398	1840	1
001168398	1850	1
001168398	1860	1
001168398	1870	1
001169165	1820	1
001169165	1830	1
001169165	1840	1
001169165	1890	1
001169165	1900	1
001169165	1910	1
001169165	1920	1
001169165	1930	1
001169165	1940	1
001169165	1950	2
001169165	1960	2
001169165	1970	2
001169165	1980	2
001169165	1990	2
001169165	2000	2
001169165	2010	1
001169165	2020	1
001169165	2030	1
001169165	2040	1
001169165	2050	1
001169165	2060	1
001176935	1670	1
001176935	1680	1
001176935	1690	1
001176935	1700	1
001176935	1710	1
001176935	1720	1
001176935	1740	1
001176935	1750	1
001176935	1760	1
001176935	1770	1
001176935	1780	1
001176935	1790	1
001176935	1870	1
001176935	1880	3
001176935	1890	3
001176935	1900	3
001176935	1910	3
001176935	1920	3
001176935	1930	3
001176935	1940	3
001176935	1950	3
001176935	1960	3
001176935	1970	2
001176935	1980	2
001176935	1990	2
001186825	2010	1
001186825	2020	1
001186825	2030	1
001186825	2040	1
001186825	2050	1
001186825	2060	1
001186825	2070	1
001186825	2080	1
001186825	2090	1
001186825	2100	1
001186825	2110	1
001186825	2120	1
001187236	1880	1
001187236	1890	1
001187236	1900	1
001187236	1910	1
001187236	1920	1
001187236	1930	1
001187236	1940	1
001231804	1620	1
001231804	1630	1
001231804	1640	1
001231804	1650	1
001231804	1660	1
001231804	1770	1
001231804	1780	1
001231804	1790	2
001231804	1800	2
001231804	1810	2
001231804	1820	2
001231804	1830	2
001231804	1840	2
001231804	1850	2
001231804	1860	2
001231804	1870	2
001231804	1880	3
001231804	1890	2
001231804	1900	2
001231804	1910	2
001231804	1920	1
001231804	1930	1
001231804	1940	1
001231804	1950	1
001231804	1960	1
001231804	1970	1
001231804	1980	1
001231804	1990	1
001243454	1960	1
001243454	1970	1
001243454	1980	1
001243454	1990	1
001243454	2000	1
001243454	2010	1
001243454	2020	1
001243454	2030	1
001243454	2040	1
001243454	2050	1
001243454	2060	1
001243454	2070	1
001259016	1580	1
001259016	1590	1
001259016	1600	1
001262041	1770	1
001262041	1780	1
001262041	1790	1
001262041	1800	1
001262041	1810	1
001262971	1840	1
001262971	1850	1
001262971	1860	1
001262971	1870	1
001262971	1880	1
001262971	1890	1
001262971	1900	1
001262971	1910	1
001262971	1920	1
001262971	1930	1
001262971	1940	1
001262971	1950	1
001268902	1860	1
001268902	1870	1
001268902	1880	1
001268902	1890	1
001268902	1900	1
001268902	1910	1
001268902	1920	1
001268902	1930	1
001268902	1940	1
001268902	1950	1
001268902	1960	1
001268902	1970	1
001268902	1980	1
001268902	1990	1
001268902	2000	1
001268902	2010	1
001268902	2020	1
001268902	2030	1
001268902	2040	1
