idn	jahrzehnt	count
000176095	1760	1
000176095	1770	1
000176095	1780	1
000176095	1790	1
000176095	1800	1
000176095	1810	1
000176095	1820	1
000176095	1830	1
000636274	1900	2
000636274	1910	2
000636274	1920	2
000636274	1930	2
000636274	1940	2
000636274	1950	2
000636274	1960	2
000636274	1970	2
001187236	1880	2
001187236	1890	2
001187236	1900	2
001187236	1910	2
001187236	1920	2
001187236	1930	2
001187236	1940	2
001262041	1770	96
001262041	1780	96
001262041	1790	96
001262041	1800	96
001262041	1810	96
004046498	1870	9
004046498	1880	9
004046498	1890	9
004046498	1900	9
004046498	1910	9
004046498	1920	9
004046498	1930	9
004075498	1790	1
004075498	1800	1
004075498	1810	1
004075498	1820	1
004075498	1830	1
004075498	1840	1
004075498	1850	1
004075498	1860	1
004083768	1870	4
004083768	1880	4
004174852	1880	1
004174852	1890	1
004174852	1900	1
004174852	1910	1
004174852	1920	1
004174852	1930	1
004174852	1940	1
004174852	1950	1
004175085	1700	1
004175085	1710	1
004175085	1720	1
004175085	1730	1
004175085	1740	1
004183096	1930	3
004183096	1940	3
004183096	1950	3
004183096	1960	3
004183096	1970	3
004311299	1690	2
004311299	1700	2
004311299	1710	2
004311299	1720	2
004311299	1730	2
004311299	1740	2
004311299	1750	2
004652401	2010	8
004652401	2020	8
004652401	2030	8
004652401	2040	8
004652401	2050	8
004652401	2060	8
004652401	2070	8
004652401	2080	8
004652401	2090	8
004652401	2100	8
004652401	2110	8
004652401	2120	8
007034695	1950	2
007034695	1960	2
007034695	1970	2
007034695	1980	2
007034695	1990	2
007034695	2000	2
007034695	2010	2
007034695	2020	2
007034695	2030	2
007034695	2040	2
007034695	2050	2
007034695	2060	2
00723936X	1940	8
00723936X	1950	8
00723936X	1960	8
00723936X	1970	8
00723936X	1980	8
00723936X	1990	8
00723936X	2000	8
00723936X	2010	8
00723936X	2020	8
00723936X	2030	8
00723936X	2040	8
00723936X	2050	8
040000036	1800	8
040000036	1810	8
040000036	1820	8
040000036	1830	23
040000036	1840	23
040000036	1850	23
040000036	1860	15
040000036	1870	15
040000036	1880	15
040000036	1890	15
040000036	1920	11
040000036	1930	11
040000036	1940	11
040000036	1950	15
040000036	1960	25
040000036	1970	28
040000036	1980	28
040000036	1990	29
040000036	2000	21
040000036	2010	21
040000036	2020	21
040000036	2030	21
040000036	2040	21
040000036	2050	21
040000036	2060	21
040000036	2070	17
040000036	2080	9
040000036	2090	4
040000036	2100	4
040000036	2110	3
04000015X	1920	9
04000015X	1930	9
04000015X	1940	9
04000015X	1950	9
04000015X	1960	9
04000015X	1970	9
04000015X	1980	9
04000015X	1990	9
04000015X	2000	9
04000015X	2010	9
04000015X	2020	9
04000015X	2030	9
04000015X	2040	9
040000184	1800	16
040000184	1810	16
040000184	1820	16
040003388	1980	4
040003388	1990	4
040003388	2000	4
040003388	2010	4
040003388	2020	4
040003388	2030	4
040003388	2040	4
040003388	2050	4
040003388	2060	4
040003388	2070	4
040003388	2080	4
040003388	2090	4
040008010	1920	3
040008010	1930	3
040008010	1940	3
040008010	1950	3
040008010	1960	3
040008010	1970	3
040008010	1980	3
040008010	1990	3
040014096	1660	18
040014096	1670	18
040014096	1680	18
040014096	1690	18
040014096	1700	18
040014096	1740	24
040014096	1750	24
040014096	1760	24
040014096	1770	24
040014096	1780	24
040014096	1790	25
040014096	1800	25
040014096	1810	1
040014096	1820	1
040014096	1830	1
040014096	1840	1
040014096	1850	1
040014096	1860	1
040014096	1920	8
040014096	1930	11
040014096	1940	11
040014096	1950	11
040014096	1960	11
040014096	1970	11
040014096	1980	11
040014096	1990	3
040014096	2000	3
040015440	1770	1
040015440	1780	1
040015440	1790	1
040015440	1800	1
040015440	1810	1
040015440	1820	1
040015440	1830	1
040017834	1610	1
040017834	1620	1
040017834	1630	1
040017834	1640	1
040017834	1650	1
040017834	1660	1
040017834	1670	2
040017834	1680	1
040017834	1690	1
040017834	1700	1
040017834	1710	1
040017834	1730	30
040017834	1740	30
040017834	1750	30
040017834	1760	30
040017834	1770	30
040017834	1780	22
040017834	1800	5
040017834	1810	5
040017834	1820	7
040017834	1830	7
040017834	1840	7
040017834	1850	7
040017834	1860	6
040017834	1870	1
040017834	1880	1
040017834	1890	2
040017834	1900	2
040017834	1910	2
040017834	1920	2
040017834	1930	1
040017834	1940	1
040017834	1950	4
040017834	1960	11
040017834	1970	11
040017834	1980	12
040017834	1990	12
040017834	2000	12
040017834	2010	13
040017834	2020	13
040017834	2030	13
040017834	2040	13
040017834	2050	13
040017834	2060	13
040017834	2070	9
040017834	2080	5
040017834	2090	2
040017834	2100	1
040017834	2110	1
040017834	2120	1
04002170X	1510	10
04002170X	1520	10
04002170X	1530	10
04002170X	1540	10
04002170X	1640	8
04002170X	1650	8
04002170X	1660	11
04002170X	1670	11
04002170X	1680	11
04002170X	1690	10
04002170X	1700	10
04002170X	1710	3
04002170X	1720	3
04002170X	1730	3
04002170X	1740	1
04002170X	1750	1
04002170X	1760	1
04002170X	1770	1
04002170X	1850	1
04002170X	1860	1
04002170X	1870	1
04002170X	1880	1
04002170X	1890	1
04002170X	1900	1
04002170X	1910	1
04002170X	1920	1
040023648	1520	34
040023648	1530	34
040023648	1540	34
040023648	1550	34
040023648	1560	34
040023648	1850	3
040023648	1860	3
040023648	1870	3
040023648	1880	3
040023648	1890	3
040023648	1900	3
040023648	1970	1
040023648	1980	1
040023648	1990	1
040023648	2000	1
040023648	2010	1
040023648	2020	1
040023648	2030	1
040023648	2040	1
040023648	2050	1
040023648	2060	1
040023648	2070	1
040023648	2080	1
040030075	2010	1
040030075	2020	1
040030075	2030	1
040030075	2040	1
040030075	2050	1
040030075	2060	1
040030075	2070	1
040030075	2080	1
040030075	2090	1
040030075	2100	1
040030075	2110	1
040030075	2120	1
040030075	2130	1
040030113	1610	4
040030113	1620	4
040030113	1630	4
040030113	1640	4
040030113	1650	4
040030113	1660	4
040030113	1670	4
040030113	1680	4
040030199	1960	3
040030199	1970	3
040030199	1980	3
040030199	1990	3
040030199	2000	3
040030199	2010	3
040030199	2020	3
040030199	2030	3
040030199	2040	3
040030199	2050	3
040030199	2060	3
040030199	2070	3
040031918	1580	3
040031918	1590	3
040031918	1600	3
040031918	1610	3
040031918	1620	3
040031918	1630	3
040031918	1640	3
040031918	1650	3
040031918	1660	3
040031918	1670	3
040031918	1680	3
040031918	1930	20
040031918	1940	20
040031918	1950	20
040031918	1960	21
040031918	1970	21
040031918	1980	21
040031918	1990	21
040031918	2000	21
040031918	2010	21
040031918	2020	21
040031918	2030	21
040031918	2040	21
040031918	2050	1
040031918	2060	1
040031918	2070	1
040031977	2010	1
040031977	2020	1
040031977	2030	1
040031977	2040	1
040031977	2050	1
040031977	2060	1
040031977	2070	1
040031977	2080	1
040031977	2090	1
040031977	2100	1
040031977	2110	1
040031977	2120	1
040032345	1730	10
040032345	1740	10
040032345	1750	10
040032345	1760	10
040032345	1770	10
040032345	1780	10
040032604	1610	33
040032604	1620	33
040032604	1630	33
040032604	1640	33
040032604	1650	33
040032604	1660	33
040032604	1670	33
04003366X	1980	5
04003366X	1990	5
04003366X	2000	7
04003366X	2010	9
04003366X	2020	9
04003366X	2030	9
04003366X	2040	9
04003366X	2050	9
04003366X	2060	9
04003366X	2070	9
04003366X	2080	9
04003366X	2090	9
04003366X	2100	4
04003366X	2110	4
04003366X	2120	2
040036146	1600	2
040036146	1610	2
040036146	1620	20
040036146	1630	20
040036146	1640	20
040036146	1650	18
040036146	1660	18
040036146	1670	30
040036146	1680	13
040036146	1690	13
040036146	1700	23
040036146	1710	28
040036146	1720	28
040036146	1730	33
040036146	1740	33
040036146	1750	23
040036146	1760	17
040036146	1770	17
040036146	1780	17
040036146	1890	23
040036146	1900	27
040036146	1910	42
040036146	1920	42
040036146	1930	42
040036146	1940	96
040036146	1950	105
040036146	1960	105
040036146	1970	107
040036146	1980	84
040036146	1990	84
040036146	2000	69
040036146	2010	73
040036146	2020	73
040036146	2030	73
040036146	2040	73
040036146	2050	73
040036146	2060	19
040036146	2070	10
040036146	2080	10
040036146	2090	6
040036146	2100	4
040036146	2110	4
040036146	2120	4
040036480	1980	1
040036480	1990	1
040036480	2000	1
040036480	2010	1
040036480	2020	1
040036480	2030	1
040036480	2040	1
040036480	2050	1
040036480	2060	1
040036480	2070	1
040036480	2080	1
040036480	2090	1
04003660X	1950	22
04003660X	1960	23
04003660X	1970	23
04003660X	1980	23
04003660X	1990	23
04003660X	2000	23
04003660X	2010	23
04003660X	2020	23
04003660X	2030	23
04003660X	2040	23
04003660X	2050	23
04003660X	2060	23
04003660X	2070	1
040041468	1970	2
040041468	1980	2
040041468	1990	2
040041468	2000	2
040041468	2010	2
040041468	2020	2
040041468	2030	2
040041468	2040	2
040041468	2050	2
040041468	2060	2
040041468	2070	2
040041468	2080	2
040041468	2090	2
040041689	1930	2
040041689	1940	3
040041689	1950	3
040041689	1960	3
040041689	1970	3
040041689	1980	3
040041689	1990	3
040041689	2000	3
040041689	2010	3
040041689	2020	3
040041689	2030	3
040041689	2040	3
040041689	2050	1
040041689	2060	1
040041697	1810	229
040041697	1820	229
040041697	1830	229
040041697	1840	229
040041697	1850	232
040041697	1860	232
040041697	1870	232
040041697	1880	232
040041697	1890	3
040041697	1900	28
040041697	1910	28
040041697	1920	28
040041697	1930	28
040041697	1940	28
040041697	1950	28
040041697	1960	28
040041697	1970	28
040041697	1980	28
040041697	1990	29
040041697	2000	4
040041697	2010	1
040041697	2020	1
040041697	2030	1
040041697	2040	1
040041697	2050	1
040041697	2060	1
040041697	2070	1
040041697	2080	1
040041697	2090	1
040041697	2100	1
040043290	1950	8
040043290	1960	8
040043290	1970	8
040043290	1980	8
040043290	1990	8
040043290	2000	8
040043290	2010	8
040043290	2020	8
040043290	2030	8
040043290	2040	8
040043290	2050	8
040043290	2060	8
040043800	1990	1
040043800	2000	1
040043800	2010	1
040043800	2020	1
040043800	2030	1
040043800	2040	1
040043800	2050	1
040043800	2060	1
040043800	2070	1
040043800	2080	1
040043800	2090	1
040043800	2100	1
040043916	1620	17
040043916	1630	17
040043916	1640	17
040043916	1650	23
040043916	1660	23
040043916	1670	6
040043916	1680	18
040043916	1690	18
040043916	1700	12
040043916	1710	12
040043916	1720	12
040043916	1730	12
040043916	1740	12
040043916	1770	96
040043916	1780	96
040043916	1790	96
040043916	1800	96
040043916	1810	96
040043916	1830	1
040043916	1840	1
040043916	1850	1
040043916	1860	1
040043916	1870	1
040043916	1940	2
040043916	1950	2
040043916	1960	2
040043916	1970	2
040043916	1980	6
040043916	1990	6
040043916	2000	6
040043916	2010	7
040043916	2020	7
040043916	2030	7
040043916	2040	7
040043916	2050	7
040043916	2060	5
040043916	2070	5
040043916	2080	5
040043916	2090	5
040043916	2100	5
040043916	2110	1
040043916	2120	1
040044319	1980	5
040044319	1990	5
040044319	2000	5
040044319	2010	5
040044319	2020	5
040044319	2030	5
040044319	2040	5
040044319	2050	5
040044319	2060	5
040044319	2070	5
