idn	name	lat	lon
999993488	Carlow$gLandkreis Nordwestmecklenburg	53.766669	10.933329
999975978	Lockwitz	50.9874	13.806789
999936107	Eliasbrunn	50.496479	11.601089
999762753	Oebisfelde-Weferlingen-Rätzlingen	52.40147	11.11355
999676628	Rehfelde	52.516669	13.9
999467689	Warta Bolesławiecka	51.23151	15.667709
999277545	Fischerbach	48.31667	8.116669
998516317	Pinnow$gLandkreis Parchim	53.6	11.55
998397334	Dötlingen-Neerstedt	52.972799	8.40362
997821086	Saint John's$gNewfoundland	47.56494	-52.70931
99750644X	Naundorf$gOschatz	51.25	13.116666
997293497	Eslohe-Wenholthausen	51.28513	8.18196
997130199	Marsberg-Westheim	51.49578	8.909259
995959986	Lützow	53.649999	11.183329
995859752	Schönberg$gLandkreis Zwickau	50.866666	12.5
995816395	Pottschach	47.69856	16.007249
995657084	Kalt$gLandkreis Mayen-Koblenz	50.26729	7.39466
994664842	Berglen-Oppelsbohm	48.861409	9.46953
993758290	Beloit, Wis.	42.50835	-89.031779
993576966	Chapdeuil	45.342149	0.47544
993400876	Goma	-1.67409	29.228449
99335274X	Springstille	50.687222	10.528055
992729173	Prag-Strahov	49.853259	12.954769
992689155	Letschin- Groß Neuendorf	52.700519	14.408049
992346371	Daubitz	51.3967	14.830289
992346215	Leuba	51.04249	14.945959
992123046	Oßling	51.35999	14.16567
992054494	Hayward, Calif.	37.668819	-122.080799
992029201	Quincy, Mass.	42.252777	-71.002222
991662989	Uppingham	52.58803	-0.72272
990878031	Folsom, Calif.	38.677959	-121.17606
990841707	Rietz-Neuendorf	52.2275	14.174444
990816753	La Plaine-sur-Mer	47.136189	-2.191819
990710092	Wietzen	52.71667	9.08333
990636860	Birkenbeul	50.73333	7.61667
990599914	Stebach	50.516669	7.65
99043382X	Wallmow	53.342509	14.0861
990153282	Neitersen	50.683329	7.56667
990044971	Victoria$gOntario	49.25014	-84.49983
989304205	Loštice	49.7447	16.92892
988997665	Wildschönau-Auffach	47.399999	12.033329
988754754	Nienwohld	53.78694	10.19444
98828135X	Sohland a. Rotstein	51.116388	14.783611
987866907	Illerich	50.2	7.183329
987622102	Köln-Ostheim	50.93117	7.04412
987510061	Monte Carlo	43.74965	7.437009
987340719	Mühlingen	47.91667	9.016669
