id,name,geo,lat,lon,count
0,Weimar,"Weimar, Thüringen, Deutschland",50.9810486,11.3296637,2823
1,Königsberg,"Калининград, городской округ Калининград, Калининградская область, Северо-Западный федеральный округ, Россия",54.710128,20.5105838,2883
2,Bern,"Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra",46.9482713,7.4514512,2926
3,Graz,"Graz, Steiermark, Österreich",47.0708678,15.4382786,3156
4,Darmstadt,"Darmstadt, Hessen, Deutschland",49.872775,8.651177,3179
5,Regensburg,"Regensburg, Bayern, Deutschland",49.0195333,12.0974869,3193
6,Mannheim,"Mannheim, Baden-Württemberg, Deutschland",49.4892913,8.4673098,3298
7,Marburg,"Marburg, Landkreis Marburg-Biedenkopf, Hessen, Deutschland",50.8117327,8.7757742,3358
8,Amsterdam,"Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041,3670
9,Münster (Westf),"Münster (Westf) Hauptbahnhof, Hamburger Straße, Bahnhof, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48143, Deutschland",51.9564055,7.635792,3786
10,Erfurt,"Erfurt, Thüringen, Deutschland",50.9777974,11.0287364,3861
11,Straßburg,"Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France",48.584614,7.7507127,3865
12,Wittenberg,"Wittenberg, Sachsen-Anhalt, Deutschland",51.8666527,12.646761,4064
13,Augsburg,"Augsburg, Bayern, Deutschland",48.3668041,10.8986971,4230
14,Braunschweig,"Braunschweig, Niedersachsen, Deutschland",52.2646577,10.5236066,4286
15,Würzburg,"Würzburg, Bayern, Deutschland",49.79245,9.932966,4302
16,Prag,"Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,4327
17,Potsdam,"Potsdam, Brandenburg, Deutschland",52.4009309,13.0591397,4516
18,Breslau,"Wrocław, powiat wrocławski, województwo dolnośląskie, Polska",51.1263106,16.97819633051261,4518
19,Karlsruhe,"Karlsruhe, Baden-Württemberg, Deutschland",49.0068705,8.4034195,4555
20,Rom,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,4666
21,Mainz,"Mainz, Rheinland-Pfalz, Deutschland",50.0012314,8.2762513,5027
22,Freiburg im Breisgau,"Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.8494005,5089
23,Bremen,"Bremen, Deutschland",53.0758196,8.8071646,5197
24,Rostock,"Rostock, Mecklenburg-Vorpommern, Deutschland",54.0924445,12.1286127,5331
25,Bonn,"Bonn, Nordrhein-Westfalen, Deutschland",50.735851,7.10066,5414
26,Kiel,"Kiel, Schleswig-Holstein, Deutschland",54.3227085,10.135555,5460
27,Tübingen,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland",48.5236164,9.0535531,5609
28,Bochum,"Bochum, Nordrhein-Westfalen, Deutschland",51.4818111,7.2196635,5873
29,Göttingen,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811,5954
30,Halle (Saale),"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4825041,11.9705452,6240
31,Basel,"Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra",47.5581077,7.5878261,6332
32,Zürich,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",47.3744489,8.5410422,6778
33,Nürnberg,"Nürnberg, Bayern, Deutschland",49.453872,11.077298,6843
34,Jena,"Jena, Thüringen, Deutschland",50.9281717,11.5879359,7013
35,"New York, NY","New York, United States",40.7127281,-74.0060152,7976
36,Frankfurt am Main,"Frankfurt am Main, Hessen, Deutschland",50.1106444,8.6820917,9554
37,Hannover,"Hannover, Region Hannover, Niedersachsen, Deutschland",52.3744779,9.7385532,9870
38,Stuttgart,"Stuttgart, Baden-Württemberg, Deutschland",48.7784485,9.1800132,10218
39,Düsseldorf,"Düsseldorf, Nordrhein-Westfalen, Deutschland",51.2254018,6.7763137,11892
40,Köln,"Köln, Nordrhein-Westfalen, Deutschland",50.938361,6.959974,12223
41,Dresden,"Dresden, Sachsen, Deutschland",51.0493286,13.7381437,12326
42,London,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,13212
43,Paris,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616,14265
44,Heidelberg,"Heidelberg, Baden-Württemberg, Deutschland",49.4093582,8.694724,15480
45,Hamburg,"Hamburg, Deutschland",53.550341,10.000654,16002
46,Wien,"Wien, Österreich",48.2083537,16.3725042,19145
47,Leipzig,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,21526
48,München,"München, Bayern, Deutschland",48.1371079,11.5753822,26752
49,Berlin,"Berlin, 10117, Deutschland",52.5170365,13.3888599,45744
