id,count,name
15.3p,182190,Personen zu Film
13.4p,127218,Personen zu Malerei
14.1,125643,Musik (Allgemeines)
14.4p,111501,Personen zu Musik
10.12b,95121,Einzelne Branchen der Industrie und des Handwerks
12.2p,94324,Personen zu Literaturgeschichte (Schriftsteller)
16.5p,80171,Personen der Geschichte (Politiker und historische Persönlichkeiten)
31.3ab,68552,Ortsgebundene Bauwerke
2.2,62690,Buchwissenschaft
3.6p,58298,Personen zu Kirchengeschichte
3.5a,42685,Liturgik
13.5p,37199,Personen zu Fotografie
9.3c,28306,Gruppe
13.2p,27612,Personen zu Plastik
16.1p,25364,Personen der Geschichtswissenschaft (Historiker
13.7p,24417,Personen zu neuen Formen der Kunst
31.3p,23204,Personen zu Architektur
13.1bp,22652,
7.14p,20203,Personen zu Recht
6.4p,20173,Personen zu Bildungswesen
3.6a,19355,Katholische Kirche
6.8,18774,Archiv
31.16p,18639,Personen zu Technik (ohne Architektur
3.2aa,17573,Teile des Alten Testamentes
13.6p,17322,Personen zu Kunsthandwerk
2.3p,16741,Personen zu Presse
27.20p,16570,Personen zu Medizin
19.1b,16082,Physische Geografie
8.4p,16017,Personen zu politischer Theorie
8.4,15885,Militär
00m,15574,Maschinell eingespielte Datensätze (Platzhalter)
6.6,15312,Hochschule
3.2ba,14036,Teile des Neuen Testamentes
12.1p,13867,Personen zu Literaturwissenschaft (Literaturwissenschaftler)
3,13730,
15.1p,13718,Personen zu Theater
11.2p,13629,Personen zu Sprache
00p,13629,Sachlich nicht klassifizierbare Personen
4.7p,12863,Personen zu Philosophie
13.1a,12837,Bildende Kunst
10.6a,11728,Telekommunikation und Verkehr
6.3a,11535,Schule
34.3,10789,Einzelne Sportarten
22.5,10171,Organische Chemie
10.12p,9726,Personen zu Gewerbe allgemein
2.1,9645,Schrift
30m,9031,Informatikprodukte (Hardware- und Softwareprodukte)
8.2b,8636,Parteien
31.7,8238,Fahrzeugbau
3.1p,8233,Personen zu allgemeiner und vergleichender Religionswissenschaft
15.3,7910,Film
9.5p,7817,Personen zu Soziologie
7.15a,7780,Öffentliche Verwaltung
11.1a,7715,Sprache (Allgemeines)
2.3,7695,Presse
12.4,7652,Literarische Motive
2.2p,7591,Personen zu Buchwissenschaft
10.2dp,7548,Personen zu Wirtschaftswissenschaften
13.1c,7491,Sachliche Motive in der Kunst
19.3,7449,Hydrologie
9.5c,7410,Sozialarbeit
6.7,7256,Bibliothek
28,7119,Mathematik
3.1,7107,Allgemeine und vergleichende Religionswissenschaft
25.3,7029,Spezielle Zoologie
16.5,6865,Geschichte einzelner Länder und Völker
17.2,6584,Brauchtum
31.3a,6502,Architektur
3.6b,6408,Evangelische Kirchen
15.1,6317,Theater
6.1a,6225,Kultur
16.3,6207,Archäologie
27.20,6183,Hygiene
24.3,5800,Spezielle Botanik
32.10p,5575,Personen zu Landwirtschaft
13.6,5303,Kunsthandwerk
17.1,5292,Volkskunde
14.4,5288,Systematische und Angewandte Musikwissenschaft
10.7b,5235,Raumordnung
7.15p,5224,Personen zu öffentlicher Verwaltung
23.2,5108,Biochemie
6.5,4943,Wissenschaft
7.13,4893,Religionsrecht
34.3p,4883,Personen zu Sport
34.1,4598,Sport (Allgemeines)
30,4487,Informatik
9.4ab,4433,Einzelne Berufe
10.13b,4338,Handel einzelner Branchen
28p,4153,Personen zu Mathematik
10.7a,4139,Umweltschutz
19.1dp,4135,Personen zu Geografie
10.13p,4048,Personen zu Handel
6.1p,4048,Personen zu Kultur und Künsten
6.2a,4012,Bildungswesen (Allgemeines)
31.10,3983,Verfahrenstechnik
19.1a,3944,Geografie
13.2,3937,Plastik
31.14,3882,Papierherstellung
31.3b,3873,Bautechnik
9.4a,3857,Arbeit
31.9b,3782,Elektronik
13.4,3775,Zeichnung
6.7p,3716,Personen zu Bibliothek
17.4p,3714,Personen zu Volkskunde
22.4,3684,Anorganische Chemie
18,3617,Natur
12.1b,3574,Literarisches Leben
27.8a,3540,Pharmazie
10.9b,3514,Bank
12.2b,3433,Anonyme literarische Werke
15.4p,3388,Personen zu Rundfunk
10.6b,3353,Fremdenverkehr
11.3a,3286,Lexikologie
13.1cy,3249,Geografische Namen als künstlerisches Motiv
7.8a,3230,Rechtspflege
12.4y,3206,Geografische Namen als literarisches Motiv
21.5p,3202,Personen zu Physik
8.1,3174,Politik (Allgemeines)
8.3,3113,Außenpolitik
8.2a,3105,Innenpolitik
16.1,3054,Geschichte (Allgemeines)
10.1c,3050,Wirtschaftsgeschichte: Neuzeit
9.4b,2963,Mitbestimmung
31.6,2883,Maschinenbau
15.4,2800,Rundfunk
21.4,2786,Elementarteilchen
10.11p,2772,Personen zu Betriebswirtschaftslehre
9.3b,2769,Bevölkerung
7.10a,2767,Wirtschaftsrecht
7.14,2759,Internationales Recht (einschließlich Völkerrecht und Recht der Europäischen Gemeinschaften
31.8a,2757,Fertigungstechnik
6.8p,2751,Personen zu Archiv
32.4,2712,Gartenbau
5.5p,2706,Personen zu Psychologie
22.5p,2700,Personen zu Chemie
10.6p,2657,Personen zu Telekommunikation und Verkehr
10.8b,2620,Bauwirtschaft
10.4,2518,Wirtschaftspolitik
31.11,2490,Lebensmitteltechnologie
19.4p,2479,Personen zu Geologie
13.3,2438,Malerei
3.5cb,2380,Mission
31.1a,2377,Technik (Allgemeines)
32.6,2346,Tierzucht
27.13,2301,Neurologie
6.3b,2274,Berufsausbildung
23.3,2221,Mikrobiologie
19.4c,2202,Mineralogie
3.5,2182,Praktische Theologie
7.3,2155,Staatsrecht
31.9a,2082,Elektrotechnik
19.1d,2069,Reise
32.1a,2067,Landwirtschaft allgemein
8.1p,2051,Personen (Politologen
7.11a,2002,Arbeitsrecht
12.4p,1984,Personen als literarisches Motiv
13.1cp,1975,Personen als künstlerisches Motiv
27.21,1952,Tiermedizin
31.16,1916,Militärtechnik
10.9p,1883,Personen zu Geld
21.3,1866,Elektrizität
7.1a,1855,Recht allgemein
10.1p,1832,Personen zu Wirtschaftsgeschichte (bis ca. 1900)
7.5c,1826,Baurecht
13.5,1815,Fotografie
12.1a,1810,Allgemeine Literaturwissenschaft
35,1796,Spiel
31.2,1784,Sanitärtechnik
16.2,1776,Quellen und Historische Hilfswissenschaften
31.4,1772,Bergbau
31.1c,1758,Mess-
10.11a,1754,Betriebswirtschaftslehre (Allgemeines)
10.10,1738,Genossenschaft
3.6c,1732,Ostkirchen und andere christliche Religionsgemeinschaften und Sekten
5.1b,1713,Psychologische Diagnostik
5.7,1709,Esoterik
24.3p,1694,Personen zu Botanik
14.2,1683,Musikalische Form
10.12,1677,Gewerbe allgemein
31.12,1662,Textiltechnik
18p,1661,Personen zu Natur
10.3c,1652,Energie- und Wasserwirtschaft
32.2,1644,Agrarpolitik
25.3p,1559,Personen zu Zoologie
20,1543,Astronomie
19.2p,1537,Personen zu Geodäsie
12.3,1530,Literaturgattung
6.1b,1526,Geistes- und Kulturgeschichte
20p,1524,Personen zu Astronomie
22.2,1507,Theoretische und Physikalische Chemie
23.4p,1478,Personen zu allgemeiner Biologie
33.3p,1478,Personen zu Hauswirtschaft
7.5d,1420,Kulturrecht
31.1d,1399,Werkstoffkunde
