id,name,count
15.3p,Personen zu Film,179586
13.4p,"Personen zu Malerei, Zeichnung, Grafik",126067
14.1,"Musik (Allgemeines), Musikgeschichte",125339
14.4p,Personen zu Musik,107141
10.12b,Einzelne Branchen der Industrie und des Handwerks,95088
12.2p,Personen zu Literaturgeschichte (Schriftsteller),93449
16.5p,Personen der Geschichte (Politiker und historische Persönlichkeiten),79279
31.3ab,Ortsgebundene Bauwerke,68099
2.2,"Buchwissenschaft, Buchhandel",62570
3.6p,"Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession",57728
