22.5,10140
30m,8972
12.4,7625
13.1c,7475
28,6925
25.3,6907
11.1a,6634
8.4,6540
31.7,6355
24.3,5726
23.2,5009
17.1,4422
9.4ab,4255
22.4,3660
30,3645
13.1cy,3219
31.9b,3195
12.4y,3173
11.3a,3133
31.10,3061
10.6a,2959
27.8a,2909
2.1,2866
21.4,2698
16.5,2352
3.1,2335
31.3b,2282
23.3,2184
13.6,2065
31.3a,1998
31.6,1977
31.8a,1880
9.3b,1872
19.4c,1826
21.3,1806
31.16,1708
34.3,1631
31.1c,1603
32.6,1516
31.9a,1482
3.5a,1479
22.2,1467
6.2a,1327
12.3,1323
14.2,1321
31.1d,1298
29,1295
7.10a,1289
7.8a,1289
21.5,1259
8.1,1242
32.4,1234
31.11,1231
9.4a,1219
35,1210
27.13,1194
21.1,1149
31.2,1124
10.11a,1091
31.1b,1089
6.1a,1085
27.2,1078
27.10,1068
16.3,1030
14.1,1017
12.1a,997
5.1a,980
5.2,975
21.2,957
17.2,948
31.1a,947
27.3d,942
6.6,923
32.3,922
20,906
6.3a,894
12.1b,881
15.1,879
33.2,862
31.12,851
7.7a,844
13.5,839
14.3,838
10.12b,813
10.9c,812
13.1a,801
10.11e,787
7.12b,787
14.4,765
6.4,758
11.2b,757
22.3,756
1,747
6.7,739
34.1,738
5.5,735
7.15a,725
8.2a,723
10.11f,718
9.3c,709
2.2,702
7.1a,684
27.9c,682
5.3,681
27.9a,678
27.20,677
31.5,674
32.5,672
7.14,671
27.4,668
10.5,667
4.3,667
25.2a,663
31.4,661
7.3,626
19.4d,625
27.3c,617
16.2,615
31.14,606
5.7,593
19.3,593
10.13b,592
10.7a,583
19.5,572
32.2,568
6.5,567
15.4,566
23.1a,562
19.4a,560
19.1b,557
9.5c,554
31.8b,547
13.4,544
4.5,543
24.2a,542
27.21,528
13.2,528
27.7,527
15.3,520
24.2b,512
9.3d,501
31.15,499
2.3,494
10.7b,492
10.11g,486
27.8b,475
19.1c,473
7.11a,471
10.11m,467
13.3,464
27.17,453
19.2,450
32.8,444
4.2,444
7.9b,443
10.9a,438
25.2b,435
33.3,430
10.11h,423
10.2ac,415
23.1b,415
27.11,411
27.9e,411
10.4,410
11.2a,406
3.6a,401
19.4b,394
10.9b,391
27.3b,374
10.11i,365
7.2c,363
27.9f,363
3.4b,355
9.2b,349
10.11c,349
10.13a,348
32.1a,347
11.3b,343
9.2a,343
10.11b,342
17.3,338
11.2c,336
10.6b,329
10.12a,326
10.2c,321
7.2b,318
12.2a,314
6.8,314
9.3e,312
4.1,303
7.5c,299
27.5,297
27.14,294
27.16,290
7.13,290
10.14,285
8.3,279
6.1b,276
4.4,274
27.9d,273
33.1,264
3.4c,258
19.1a,253
3.4a,248
31.13,248
10.2ea,247
00,241
27.15,241
3.3c,240
6.3b,239
5.1b,238
27.12,238
10.2b,235
3.6,234
18,232
23.4,228
27.6,228
7.12c,227
36,226
10.3b,222
27.9b,221
7.6a,219
3.6c,218
8.2b,215
5.4,215
7.6c,203
3.6b,203
32.10,200
10.1c,197
7.12d,196
27.3a,195
10.3c,194
10.2eb,191
27.19,189
16.4c,188
17.4,186
7.4,185
9.5b,185
16.1,185
32.7,183
3.5bb,180
3.2,179
10.11d,174
13.1b,174
27.1a,170
32.9,168
7.10b,168
3.3b,167
10.12,165
19.1d,163
10.8b,163
7.7b,162
10.2aa,159
7.12a,157
7.2a,157
10.2da,154
7.12,154
10.2a,154
16.4b,151
9.5a,145
3.5,139
10.2dc,134
13.7,133
7.12e,129
26,128
10.8a,124
10.10,123
22.1,121
3.2b,121
7.5a,119
9.4b,115
11.1b,115
7.5e,114
9.1c,113
13.1cp,113
7.5d,112
16.4,111
3.2a,104
3.5cb,104
10.3d,104
3.5ca,104
7.9a,103
27.3e,98
10.1b,98
15.2,96
7.5b,95
7.6b,95
11.1c,95
3.3a,93
7.15b,89
9.3a,86
5.6,84
10.15,82
6.2b,77
25.1,76
7.2,75
10.2ab,72
16.4d,69
4.6,67
3.3,65
3.5ba,63
27.1b,57
10.2e,57
27.18,57
24.1,56
4.7,55
12.4p,55
9.1,54
32.1b,53
7.5f,49
12.2p,46
25.2,42
27.9,41
12.2b,40
7.11c,40
24.2,39
34.2,37
10.1,35
9.1a,33
10.2db,33
31.1e,31
31.3ab,31
9.1b,27
7.11b,25
10.3a,22
3.6p,22
3.1p,21
14.4p,20
11.3c,18
7.8b,16
10.2d,15
19,14
16.4a,11
11.3d,10
10.1a,10
30p,6
31.16p,5
13.4p,5
00m,4
6.8p,4
13.1bp,4
3.2aa,3
11.2p,3
10.4p,3
4.7p,3
27.20p,3
2.3p,2
15.3p,2
2.2p,2
25.3p,2
12.1p,2
13.6p,2
3.2ba,2
7.1b,2
3,2
10.15p,2
19.1dp,2
3.2p,2
15.4p,2
19.5p,1
9.5p,1
9.2,1
20p,1
21.5p,1
6.7p,1
23.4p,1
6.4p,1
15.1p,1
18p,1
7.14p,1
5.7p,1
6.1p,1
2.1p,1
10.12p,1
28p,1
