gnd_id,bbg,name,count
1231312009,Tf1,Radiale - Kunst im Kreis,16
1224485157,Tf1,Deutsche Veterinärmedizinische Gesellschaft,4
1224485351,Tf1,Deutsche Veterinärmedizinische Gesellschaft,3
1231312785,Tf1,Kunst am Grünen Hang,3
1228349088,Tf3,Leipziger Frühjahrsmesse,3
1224842847,Tf1,Treffen Junger Autor*innen,2
1224907779,Tf3,John H. Barrett Memorial Lectures,2
1224904699,Tf1,Psychologiedidaktik und Evaluation,2
122645934X,Tf1,The @use of psalms in Jewish and Christian traditions,2
1224895924,Tf1,Kulturgutschutz in Europa und im Rheinland,2
